call_date,calling_number,called_number,duration,call_type
2024-08-05 20:28:00,+918700012345,+919870000548,8,OUTGOING
2024-08-05 20:43:00,+919829012345,+919610019876,298,INCOMING
2024-08-05 20:53:00,+919772211223,+919811023456,358,INCOMING
2024-08-05 21:28:00,+919610012345,+919001123456,168,OUTGOING
2024-08-05 21:32:00,+919001123456,+919772211223,408,OUTGOING
2024-08-05 23:13:00,+919829012345,+919001123456,273,OUTGOING
2024-08-05 23:28:00,+919610019876,+919829012345,149,INCOMING
2024-08-06 01:20:00,+919001123456,+919610012345,338,OUTGOING
2024-08-06 01:29:00,+919811023456,+919772211223,202,OUTGOING
2024-08-06 02:53:00,+919001123456,+919610019876,256,INCOMING
2024-08-06 05:45:00,+919610019876,+919001123456,117,OUTGOING
2024-08-06 07:46:00,+919811023456,+919610019876,46,OUTGOING
2024-08-06 07:57:00,+919001123456,+919829012345,109,OUTGOING
2024-08-06 17:34:00,+919610019876,+919610012345,42,INCOMING
2024-08-06 19:27:00,+919772211223,+919610019876,359,INCOMING
2024-08-06 19:45:00,+918700012345,+919870002055,55,OUTGOING
2024-08-06 20:26:00,+919811023456,+919829012345,309,INCOMING
2024-08-06 21:35:00,+918700012345,+919870000685,17,OUTGOING
2024-08-06 22:30:00,+919811023456,+919001123456,25,INCOMING
2024-08-06 22:31:00,+919610012345,+919811023456,401,OUTGOING
2024-08-06 22:39:00,+919811023456,+919610012345,72,OUTGOING
2024-08-07 04:20:00,+919829012345,+919001123456,288,INCOMING
2024-08-07 04:43:00,+919610012345,+919772211223,168,INCOMING
2024-08-07 06:03:00,+919772211223,+919610012345,116,OUTGOING
2024-08-07 07:10:00,+919610019876,+919001123456,406,OUTGOING
2024-08-07 17:06:00,+919811023456,+919610012345,253,OUTGOING
2024-08-07 18:11:00,+919811023456,+919001123456,328,INCOMING
2024-08-07 18:33:00,+919610019876,+919829012345,183,OUTGOING
2024-08-07 18:47:00,+919610019876,+919610012345,184,INCOMING
2024-08-07 19:16:00,+919610012345,+919610019876,266,INCOMING
2024-08-07 19:39:00,+919610019876,+919772211223,323,OUTGOING
2024-08-07 20:30:00,+919610019876,+919811023456,17,INCOMING
2024-08-07 20:52:00,+918700012345,+919870002192,47,OUTGOING
2024-08-07 21:04:00,+919001123456,+919829012345,127,OUTGOING
2024-08-07 22:42:00,+918700012345,+919870000822,53,OUTGOING
2024-08-07 23:16:00,+919610012345,+919772211223,268,OUTGOING
2024-08-08 01:19:00,+919811023456,+919829012345,354,INCOMING
2024-08-08 01:53:00,+919610012345,+919811023456,200,INCOMING
2024-08-08 01:55:00,+919772211223,+919001123456,83,OUTGOING
2024-08-08 07:13:00,+919811023456,+919772211223,212,OUTGOING
2024-08-08 21:18:00,+919811023456,+919610012345,36,OUTGOING
2024-08-08 21:43:00,+919610019876,+919772211223,82,INCOMING
2024-08-08 21:59:00,+918700012345,+919870002329,90,OUTGOING
2024-08-08 22:00:00,+919829012345,+919772211223,377,OUTGOING
2024-08-08 23:49:00,+918700012345,+919870000959,52,OUTGOING
2024-08-09 00:04:00,+919610019876,+919001123456,134,OUTGOING
2024-08-09 00:18:00,+919610012345,+919610019876,382,INCOMING
2024-08-09 01:44:00,+919001123456,+919610012345,262,OUTGOING
2024-08-09 02:54:00,+919811023456,+919829012345,83,OUTGOING
2024-08-09 03:15:00,+919001123456,+919829012345,322,OUTGOING
2024-08-09 05:05:00,+919772211223,+919001123456,271,INCOMING
2024-08-09 06:41:00,+919001123456,+919772211223,329,OUTGOING
2024-08-09 07:14:00,+919610019876,+919610012345,51,INCOMING
2024-08-09 18:11:00,+919829012345,+919811023456,129,OUTGOING
2024-08-09 18:25:00,+919772211223,+919610012345,364,INCOMING
2024-08-09 19:10:00,+919001123456,+919829012345,62,OUTGOING
2024-08-09 20:22:00,+919610012345,+919610019876,98,OUTGOING
2024-08-09 20:22:00,+919772211223,+919610019876,251,INCOMING
2024-08-09 20:56:00,+919829012345,+919772211223,95,OUTGOING
2024-08-09 21:03:00,+919610019876,+919001123456,192,INCOMING
2024-08-09 21:54:00,+919829012345,+919001123456,354,INCOMING
2024-08-10 00:56:00,+918700012345,+919870001096,86,OUTGOING
2024-08-10 01:26:00,+919001123456,+919610019876,37,OUTGOING
2024-08-10 05:33:00,+919610012345,+919001123456,387,INCOMING
2024-08-10 06:48:00,+919811023456,+919610012345,113,OUTGOING
2024-08-10 07:51:00,+919001123456,+919811023456,316,OUTGOING
2024-08-10 17:21:00,+919772211223,+919001123456,48,INCOMING
2024-08-10 18:08:00,+919001123456,+919829012345,335,OUTGOING
2024-08-10 18:46:00,+919829012345,+919001123456,415,INCOMING
2024-08-10 20:10:00,+919610012345,+919610019876,55,OUTGOING
2024-08-10 23:37:00,+919001123456,+919610019876,249,INCOMING
2024-08-11 01:03:00,+918700012345,+919870001233,13,OUTGOING
2024-08-11 04:30:00,+919811023456,+919829012345,140,OUTGOING
2024-08-11 05:03:00,+919610012345,+919811023456,248,INCOMING
2024-08-11 05:19:00,+919610019876,+919772211223,156,OUTGOING
2024-08-11 05:45:00,+919001123456,+919811023456,147,OUTGOING
2024-08-11 05:48:00,+919811023456,+919610012345,92,INCOMING
2024-08-11 07:20:00,+919772211223,+919610019876,320,OUTGOING
2024-08-11 07:48:00,+919610019876,+919811023456,382,OUTGOING
2024-08-11 17:55:00,+919772211223,+919610019876,387,INCOMING
2024-08-11 20:46:00,+919610012345,+919772211223,182,OUTGOING
2024-08-11 21:06:00,+919610012345,+919829012345,90,OUTGOING
2024-08-11 21:17:00,+919001123456,+919610019876,20,INCOMING
2024-08-11 22:30:00,+919001123456,+919610012345,229,INCOMING
2024-08-12 02:41:00,+919811023456,+919610012345,290,OUTGOING
2024-08-12 03:40:00,+919772211223,+919610012345,344,OUTGOING
2024-08-12 04:24:00,+919811023456,+919610019876,83,OUTGOING
2024-08-12 05:05:00,+919610019876,+919772211223,84,OUTGOING
2024-08-12 05:08:00,+919001123456,+919772211223,91,INCOMING
2024-08-12 05:17:00,+919829012345,+919610019876,83,INCOMING
2024-08-12 05:23:00,+919610019876,+919829012345,155,INCOMING
2024-08-12 06:37:00,+919610019876,+919610012345,402,OUTGOING
2024-08-12 07:12:00,+919829012345,+919811023456,89,OUTGOING
2024-08-12 07:32:00,+919610012345,+919811023456,51,OUTGOING
2024-08-12 19:25:00,+919829012345,+919001123456,299,OUTGOING
2024-08-12 20:19:00,+919811023456,+919610019876,397,INCOMING
2024-08-12 22:00:00,+919811023456,+919001123456,11,OUTGOING
2024-08-12 22:37:00,+919610012345,+919811023456,138,OUTGOING
2024-08-13 01:14:00,+919610019876,+919829012345,355,INCOMING
2024-08-13 02:18:00,+919811023456,+919772211223,241,INCOMING
2024-08-13 02:23:00,+919610019876,+919610012345,300,OUTGOING
2024-08-13 02:25:00,+919610012345,+919772211223,95,OUTGOING
2024-08-13 03:17:00,+919829012345,+919610012345,90,OUTGOING
2024-08-13 03:47:00,+919610019876,+919001123456,151,OUTGOING
2024-08-13 04:29:00,+919772211223,+919811023456,207,OUTGOING
2024-08-13 06:34:00,+919610012345,+919829012345,344,OUTGOING
2024-08-13 06:41:00,+919610012345,+919001123456,87,OUTGOING
2024-08-13 07:09:00,+919829012345,+919610019876,387,OUTGOING
2024-08-13 07:56:00,+919829012345,+919772211223,189,OUTGOING
2024-08-13 17:08:00,+919829012345,+919811023456,397,INCOMING
2024-08-13 18:05:00,+919610019876,+919811023456,82,INCOMING
2024-08-13 18:10:00,+919610012345,+919772211223,125,OUTGOING
2024-08-13 19:39:00,+919772211223,+919610012345,50,OUTGOING
2024-08-13 21:00:00,+919829012345,+919772211223,19,INCOMING
2024-08-13 21:20:00,+919610019876,+919772211223,45,INCOMING
2024-08-13 21:30:00,+919811023456,+919610019876,288,INCOMING
2024-08-13 21:38:00,+919610019876,+919001123456,341,INCOMING
2024-08-14 00:56:00,+919811023456,+919001123456,110,OUTGOING
2024-08-14 01:38:00,+919811023456,+919829012345,258,OUTGOING
2024-08-14 02:23:00,+919829012345,+919001123456,296,OUTGOING
2024-08-14 06:47:00,+919772211223,+919001123456,402,INCOMING
2024-08-14 20:16:00,+919610012345,+919811023456,175,OUTGOING
2024-08-14 22:05:00,+919772211223,+919829012345,349,OUTGOING
2024-08-14 22:06:00,+919829012345,+919811023456,25,OUTGOING
2024-08-14 22:29:00,+919610012345,+919001123456,122,OUTGOING
2024-08-15 00:01:00,+919001123456,+919829012345,330,OUTGOING
2024-08-15 01:38:00,+919610012345,+919610019876,381,INCOMING
2024-08-15 01:46:00,+919829012345,+919001123456,409,OUTGOING
2024-08-15 02:18:00,+919811023456,+919001123456,97,INCOMING
2024-08-15 02:36:00,+919811023456,+919772211223,175,INCOMING
2024-08-15 06:50:00,+919001123456,+919772211223,190,OUTGOING
2024-08-15 07:43:00,+919772211223,+919001123456,223,INCOMING
