record_id,person_id,surface_name,source_type
NAMEVAR_PERSON_00014_0,PERSON_00014,Nilesh Patil,witness
NAMEVAR_PERSON_00014_1,PERSON_00014,NILESH PATIL,court
NAMEVAR_PERSON_00014_2,PERSON_00014,N. Patil,police
NAMEVAR_PERSON_00015_0,PERSON_00015,Kiran Kumar,bank
NAMEVAR_PERSON_00015_1,PERSON_00015,KIRAN KUMAR,witness
NAMEVAR_PERSON_00015_2,PERSON_00015,K. Kumar,surveillance
NAMEVAR_PERSON_00016_0,PERSON_00016,Suresh Pillai,police
NAMEVAR_PERSON_00016_1,PERSON_00016,SURESH PILLAI,witness
NAMEVAR_PERSON_00016_2,PERSON_00016,S. Pillai,bank
NAMEVAR_PERSON_00017_0,PERSON_00017,Dinesh Nair,witness
NAMEVAR_PERSON_00017_1,PERSON_00017,DINESH NAIR,court
NAMEVAR_PERSON_00017_2,PERSON_00017,D. Nair,bank
NAMEVAR_PERSON_00018_0,PERSON_00018,Subhash Prasad,police
NAMEVAR_PERSON_00018_1,PERSON_00018,SUBHASH PRASAD,bank
NAMEVAR_PERSON_00018_2,PERSON_00018,S. Prasad,witness
NAMEVAR_PERSON_00019_0,PERSON_00019,Arun Kumar,police
NAMEVAR_PERSON_00019_1,PERSON_00019,ARUN KUMAR,bank
NAMEVAR_PERSON_00019_2,PERSON_00019,A. Kumar,police
NAMEVAR_PERSON_00020_0,PERSON_00020,Rajesh Naidu,witness
NAMEVAR_PERSON_00020_1,PERSON_00020,RAJESH NAIDU,court
NAMEVAR_PERSON_00020_2,PERSON_00020,R. Naidu,witness
NAMEVAR_PERSON_00021_0,PERSON_00021,Sanjay Jain,witness
NAMEVAR_PERSON_00021_1,PERSON_00021,SANJAY JAIN,bank
NAMEVAR_PERSON_00021_2,PERSON_00021,S. Jain,bank
NAMEVAR_PERSON_00022_0,PERSON_00022,Subhash Kumar,surveillance
NAMEVAR_PERSON_00022_1,PERSON_00022,SUBHASH KUMAR,surveillance
NAMEVAR_PERSON_00022_2,PERSON_00022,S. Kumar,witness
NAMEVAR_PERSON_00023_0,PERSON_00023,Suresh Das,police
NAMEVAR_PERSON_00023_1,PERSON_00023,SURESH DAS,business
NAMEVAR_PERSON_00023_2,PERSON_00023,S. Das,bank
NAMEVAR_PERSON_00024_0,PERSON_00024,Manish Kamat,court
NAMEVAR_PERSON_00024_1,PERSON_00024,MANISH KAMAT,bank
NAMEVAR_PERSON_00024_2,PERSON_00024,M. Kamat,witness
NAMEVAR_PERSON_00025_0,PERSON_00025,Suresh Sahu,court
NAMEVAR_PERSON_00025_1,PERSON_00025,SURESH SAHU,bank
NAMEVAR_PERSON_00025_2,PERSON_00025,S. Sahu,court
NAMEVAR_PERSON_00026_0,PERSON_00026,Sachin Shinde,police
NAMEVAR_PERSON_00026_1,PERSON_00026,SACHIN SHINDE,court
NAMEVAR_PERSON_00026_2,PERSON_00026,S. Shinde,witness
NAMEVAR_PERSON_00027_0,PERSON_00027,Ravi Verma,witness
NAMEVAR_PERSON_00027_1,PERSON_00027,RAVI VERMA,police
NAMEVAR_PERSON_00027_2,PERSON_00027,R. Verma,witness
NAMEVAR_PERSON_00028_0,PERSON_00028,Pankaj Verma,business
NAMEVAR_PERSON_00028_1,PERSON_00028,PANKAJ VERMA,court
NAMEVAR_PERSON_00028_2,PERSON_00028,P. Verma,witness
NAMEVAR_PERSON_00029_0,PERSON_00029,Vikas Singh,police
NAMEVAR_PERSON_00029_1,PERSON_00029,VIKAS SINGH,witness
NAMEVAR_PERSON_00029_2,PERSON_00029,V. Singh,witness
NAMEVAR_PERSON_00030_0,PERSON_00030,Vignesh Shetty,bank
NAMEVAR_PERSON_00030_1,PERSON_00030,VIGNESH SHETTY,bank
NAMEVAR_PERSON_00030_2,PERSON_00030,V. Shetty,witness
NAMEVAR_PERSON_00031_0,PERSON_00031,Akash Kamat,police
NAMEVAR_PERSON_00031_1,PERSON_00031,AKASH KAMAT,business
NAMEVAR_PERSON_00031_2,PERSON_00031,A. Kamat,business
NAMEVAR_PERSON_00032_0,PERSON_00032,Vivek Yadav,business
NAMEVAR_PERSON_00032_1,PERSON_00032,VIVEK YADAV,surveillance
NAMEVAR_PERSON_00032_2,PERSON_00032,V. Yadav,witness
NAMEVAR_PERSON_00033_0,PERSON_00033,Jayesh More,bank
NAMEVAR_PERSON_00033_1,PERSON_00033,JAYESH MORE,bank
NAMEVAR_PERSON_00033_2,PERSON_00033,J. More,court
NAMEVAR_PERSON_00034_0,PERSON_00034,Prasad Reddy,bank
NAMEVAR_PERSON_00034_1,PERSON_00034,PRASAD REDDY,business
NAMEVAR_PERSON_00034_2,PERSON_00034,P. Reddy,police
NAMEVAR_PERSON_00035_0,PERSON_00035,Nitin Patil,witness
NAMEVAR_PERSON_00035_1,PERSON_00035,NITIN PATIL,bank
NAMEVAR_PERSON_00035_2,PERSON_00035,N. Patil,surveillance
NAMEVAR_PERSON_00036_0,PERSON_00036,Amit Patnaik,surveillance
NAMEVAR_PERSON_00036_1,PERSON_00036,AMIT PATNAIK,surveillance
NAMEVAR_PERSON_00036_2,PERSON_00036,A. Patnaik,business
NAMEVAR_PERSON_00037_0,PERSON_00037,Vivek Yadav,business
NAMEVAR_PERSON_00037_1,PERSON_00037,VIVEK YADAV,bank
NAMEVAR_PERSON_00037_2,PERSON_00037,V. Yadav,witness
NAMEVAR_PERSON_00038_0,PERSON_00038,Rakesh Prasad,police
NAMEVAR_PERSON_00038_1,PERSON_00038,RAKESH PRASAD,business
NAMEVAR_PERSON_00038_2,PERSON_00038,R. Prasad,business
NAMEVAR_PERSON_00038_3,PERSON_00038,Rakesh Kumar,surveillance
NAMEVAR_PERSON_00039_0,PERSON_00039,Sanjay Sharma,court
NAMEVAR_PERSON_00039_1,PERSON_00039,SANJAY SHARMA,bank
NAMEVAR_PERSON_00039_2,PERSON_00039,S. Sharma,court
NAMEVAR_PERSON_00040_0,PERSON_00040,Arjun Verma,witness
NAMEVAR_PERSON_00040_1,PERSON_00040,ARJUN VERMA,surveillance
NAMEVAR_PERSON_00040_2,PERSON_00040,A. Verma,surveillance
NAMEVAR_PERSON_00041_0,PERSON_00041,Prasad Rao,police
NAMEVAR_PERSON_00041_1,PERSON_00041,PRASAD RAO,police
NAMEVAR_PERSON_00041_2,PERSON_00041,P. Rao,witness
NAMEVAR_PERSON_00042_0,PERSON_00042,Manoj Naidu,witness
NAMEVAR_PERSON_00042_1,PERSON_00042,MANOJ NAIDU,business
NAMEVAR_PERSON_00042_2,PERSON_00042,M. Naidu,surveillance
NAMEVAR_PERSON_00043_0,PERSON_00043,Hitesh Mehta,bank
NAMEVAR_PERSON_00043_1,PERSON_00043,HITESH MEHTA,surveillance
NAMEVAR_PERSON_00043_2,PERSON_00043,H. Mehta,court
NAMEVAR_PERSON_00044_0,PERSON_00044,Prasad Menon,court
NAMEVAR_PERSON_00044_1,PERSON_00044,PRASAD MENON,surveillance
NAMEVAR_PERSON_00044_2,PERSON_00044,P. Menon,police
NAMEVAR_PERSON_00045_0,PERSON_00045,Deepak Sharma,surveillance
NAMEVAR_PERSON_00045_1,PERSON_00045,DEEPAK SHARMA,court
NAMEVAR_PERSON_00045_2,PERSON_00045,D. Sharma,business
NAMEVAR_PERSON_00046_0,PERSON_00046,Arun Babu,witness
NAMEVAR_PERSON_00046_1,PERSON_00046,ARUN BABU,bank
NAMEVAR_PERSON_00046_2,PERSON_00046,A. Babu,bank
NAMEVAR_PERSON_00047_0,PERSON_00047,Kiran Kumar,police
NAMEVAR_PERSON_00047_1,PERSON_00047,KIRAN KUMAR,witness
NAMEVAR_PERSON_00047_2,PERSON_00047,K. Kumar,surveillance
NAMEVAR_PERSON_00048_0,PERSON_00048,Mahesh Reddy,witness
NAMEVAR_PERSON_00048_1,PERSON_00048,MAHESH REDDY,police
NAMEVAR_PERSON_00048_2,PERSON_00048,M. Reddy,bank
NAMEVAR_PERSON_00049_0,PERSON_00049,Debasish Behera,police
NAMEVAR_PERSON_00049_1,PERSON_00049,DEBASISH BEHERA,bank
NAMEVAR_PERSON_00049_2,PERSON_00049,D. Behera,witness
NAMEVAR_PERSON_00050_0,PERSON_00050,Deepak Kumar Verma,surveillance
NAMEVAR_PERSON_00050_1,PERSON_00050,DEEPAK KUMAR VERMA,police
NAMEVAR_PERSON_00050_2,PERSON_00050,D. Verma,court
NAMEVAR_PERSON_00050_3,PERSON_00050,Deepak Verma,court
NAMEVAR_PERSON_00051_0,PERSON_00051,Harish Gowda,business
NAMEVAR_PERSON_00051_1,PERSON_00051,HARISH GOWDA,police
NAMEVAR_PERSON_00051_2,PERSON_00051,H. Gowda,court
NAMEVAR_PERSON_00052_0,PERSON_00052,Vivek Yadav,business
NAMEVAR_PERSON_00052_1,PERSON_00052,VIVEK YADAV,business
NAMEVAR_PERSON_00052_2,PERSON_00052,V. Yadav,court
NAMEVAR_PERSON_00053_0,PERSON_00053,Kiran Raj,surveillance
NAMEVAR_PERSON_00053_1,PERSON_00053,KIRAN RAJ,police
NAMEVAR_PERSON_00053_2,PERSON_00053,K. Raj,witness
NAMEVAR_PERSON_00054_0,PERSON_00054,Anil Varma,court
NAMEVAR_PERSON_00054_1,PERSON_00054,ANIL VARMA,court
NAMEVAR_PERSON_00054_2,PERSON_00054,A. Varma,court
NAMEVAR_PERSON_00055_0,PERSON_00055,Ajay Gowda,witness
NAMEVAR_PERSON_00055_1,PERSON_00055,AJAY GOWDA,court
NAMEVAR_PERSON_00055_2,PERSON_00055,A. Gowda,business
NAMEVAR_PERSON_00056_0,PERSON_00056,Debasish Behera,court
NAMEVAR_PERSON_00056_1,PERSON_00056,DEBASISH BEHERA,business
NAMEVAR_PERSON_00056_2,PERSON_00056,D. Behera,witness
NAMEVAR_PERSON_00057_0,PERSON_00057,Arjun Singh,court
NAMEVAR_PERSON_00057_1,PERSON_00057,ARJUN SINGH,police
NAMEVAR_PERSON_00057_2,PERSON_00057,A. Singh,court
NAMEVAR_PERSON_00058_0,PERSON_00058,Arjun Prasad,witness
NAMEVAR_PERSON_00058_1,PERSON_00058,ARJUN PRASAD,bank
NAMEVAR_PERSON_00058_2,PERSON_00058,A. Prasad,surveillance
NAMEVAR_PERSON_00059_0,PERSON_00059,Suresh Saha,court
NAMEVAR_PERSON_00059_1,PERSON_00059,SURESH SAHA,surveillance
NAMEVAR_PERSON_00059_2,PERSON_00059,S. Saha,business
NAMEVAR_PERSON_00060_0,PERSON_00060,Deepak Pawar,business
NAMEVAR_PERSON_00060_1,PERSON_00060,DEEPAK PAWAR,bank
NAMEVAR_PERSON_00060_2,PERSON_00060,D. Pawar,police
NAMEVAR_PERSON_00061_0,PERSON_00061,Suresh Kumar,court
NAMEVAR_PERSON_00061_1,PERSON_00061,SURESH KUMAR,business
NAMEVAR_PERSON_00061_2,PERSON_00061,S. Kumar,business
NAMEVAR_PERSON_00062_0,PERSON_00062,Rakesh Sahu,court
NAMEVAR_PERSON_00062_1,PERSON_00062,RAKESH SAHU,witness
NAMEVAR_PERSON_00062_2,PERSON_00062,R. Sahu,bank
NAMEVAR_PERSON_00062_3,PERSON_00062,Ganesh Sahu,court
NAMEVAR_PERSON_00063_0,PERSON_00063,Ashok Sahu,police
NAMEVAR_PERSON_00063_1,PERSON_00063,ASHOK SAHU,court
NAMEVAR_PERSON_00063_2,PERSON_00063,A. Sahu,witness
NAMEVAR_PERSON_00064_0,PERSON_00064,Srinivas Nair,business
NAMEVAR_PERSON_00064_1,PERSON_00064,SRINIVAS NAIR,witness
NAMEVAR_PERSON_00064_2,PERSON_00064,S. Nair,business
NAMEVAR_PERSON_00065_0,PERSON_00065,Prakash Pawar,witness
NAMEVAR_PERSON_00065_1,PERSON_00065,PRAKASH PAWAR,surveillance
NAMEVAR_PERSON_00065_2,PERSON_00065,P. Pawar,police
NAMEVAR_PERSON_00066_0,PERSON_00066,Vikas Meena,witness
NAMEVAR_PERSON_00066_1,PERSON_00066,VIKAS MEENA,police
NAMEVAR_PERSON_00066_2,PERSON_00066,V. Meena,surveillance
NAMEVAR_PERSON_00067_0,PERSON_00067,Ramesh Raj,police
NAMEVAR_PERSON_00067_1,PERSON_00067,RAMESH RAJ,bank
NAMEVAR_PERSON_00067_2,PERSON_00067,R. Raj,business
NAMEVAR_PERSON_00068_0,PERSON_00068,Suresh Rao,surveillance
NAMEVAR_PERSON_00068_1,PERSON_00068,SURESH RAO,business
NAMEVAR_PERSON_00068_2,PERSON_00068,S. Rao,police
NAMEVAR_PERSON_00069_0,PERSON_00069,Deepak Nayak,surveillance
NAMEVAR_PERSON_00069_1,PERSON_00069,DEEPAK NAYAK,police
NAMEVAR_PERSON_00069_2,PERSON_00069,D. Nayak,witness
NAMEVAR_PERSON_00070_0,PERSON_00070,Amit Yadav,police
NAMEVAR_PERSON_00070_1,PERSON_00070,AMIT YADAV,witness
NAMEVAR_PERSON_00070_2,PERSON_00070,A. Yadav,police
NAMEVAR_PERSON_00071_0,PERSON_00071,Manoj Gupta,witness
NAMEVAR_PERSON_00071_1,PERSON_00071,MANOJ GUPTA,bank
NAMEVAR_PERSON_00071_2,PERSON_00071,M. Gupta,business
NAMEVAR_PERSON_00072_0,PERSON_00072,Manoj Jain,bank
NAMEVAR_PERSON_00072_1,PERSON_00072,MANOJ JAIN,police
NAMEVAR_PERSON_00072_2,PERSON_00072,M. Jain,surveillance
NAMEVAR_PERSON_00073_0,PERSON_00073,Rohit Kamat,business
NAMEVAR_PERSON_00073_1,PERSON_00073,ROHIT KAMAT,court
NAMEVAR_PERSON_00073_2,PERSON_00073,R. Kamat,business
NAMEVAR_PERSON_00074_0,PERSON_00074,Amit Sahu,police
NAMEVAR_PERSON_00074_1,PERSON_00074,AMIT SAHU,court
NAMEVAR_PERSON_00074_2,PERSON_00074,A. Sahu,business
NAMEVAR_PERSON_00075_0,PERSON_00075,Subhash Singh,police
NAMEVAR_PERSON_00075_1,PERSON_00075,SUBHASH SINGH,witness
NAMEVAR_PERSON_00075_2,PERSON_00075,S. Singh,bank
NAMEVAR_PERSON_00076_0,PERSON_00076,Sunil Verma,witness
NAMEVAR_PERSON_00076_1,PERSON_00076,SUNIL VERMA,court
NAMEVAR_PERSON_00076_2,PERSON_00076,S. Verma,court
NAMEVAR_PERSON_00077_0,PERSON_00077,Sachin Naik,witness
NAMEVAR_PERSON_00077_1,PERSON_00077,SACHIN NAIK,surveillance
NAMEVAR_PERSON_00077_2,PERSON_00077,S. Naik,court
NAMEVAR_PERSON_00078_0,PERSON_00078,Santosh Patnaik,witness
NAMEVAR_PERSON_00078_1,PERSON_00078,SANTOSH PATNAIK,police
NAMEVAR_PERSON_00078_2,PERSON_00078,S. Patnaik,court
NAMEVAR_PERSON_00078_3,PERSON_00078,Ganesh Patnaik,witness
NAMEVAR_PERSON_00079_0,PERSON_00079,Vinod Kumar,business
NAMEVAR_PERSON_00079_1,PERSON_00079,VINOD KUMAR,police
NAMEVAR_PERSON_00079_2,PERSON_00079,V. Kumar,court
NAMEVAR_PERSON_00080_0,PERSON_00080,Karthik Rao,surveillance
NAMEVAR_PERSON_00080_1,PERSON_00080,KARTHIK RAO,business
NAMEVAR_PERSON_00080_2,PERSON_00080,K. Rao,court
NAMEVAR_PERSON_00081_0,PERSON_00081,Deepak Sharma,business
NAMEVAR_PERSON_00081_1,PERSON_00081,DEEPAK SHARMA,bank
NAMEVAR_PERSON_00081_2,PERSON_00081,D. Sharma,surveillance
NAMEVAR_PERSON_00082_0,PERSON_00082,Ravi Naidu,witness
NAMEVAR_PERSON_00082_1,PERSON_00082,RAVI NAIDU,surveillance
NAMEVAR_PERSON_00082_2,PERSON_00082,R. Naidu,court
NAMEVAR_PERSON_00083_0,PERSON_00083,Amit Das,business
NAMEVAR_PERSON_00083_1,PERSON_00083,AMIT DAS,bank
NAMEVAR_PERSON_00083_2,PERSON_00083,A. Das,bank
NAMEVAR_PERSON_00084_0,PERSON_00084,Anil Reddy,business
NAMEVAR_PERSON_00084_1,PERSON_00084,ANIL REDDY,bank
NAMEVAR_PERSON_00084_2,PERSON_00084,A. Reddy,police
NAMEVAR_PERSON_00085_0,PERSON_00085,Deepak Singh,surveillance
NAMEVAR_PERSON_00085_1,PERSON_00085,DEEPAK SINGH,police
NAMEVAR_PERSON_00085_2,PERSON_00085,D. Singh,business
NAMEVAR_PERSON_00086_0,PERSON_00086,Vikas Meena,court
NAMEVAR_PERSON_00086_1,PERSON_00086,VIKAS MEENA,court
NAMEVAR_PERSON_00086_2,PERSON_00086,V. Meena,police
NAMEVAR_PERSON_00087_0,PERSON_00087,Rajesh Das,surveillance
NAMEVAR_PERSON_00087_1,PERSON_00087,RAJESH DAS,bank
NAMEVAR_PERSON_00087_2,PERSON_00087,R. Das,witness
NAMEVAR_PERSON_00088_0,PERSON_00088,Vivek Patel,witness
NAMEVAR_PERSON_00088_1,PERSON_00088,VIVEK PATEL,business
NAMEVAR_PERSON_00088_2,PERSON_00088,V. Patel,witness
NAMEVAR_PERSON_00089_0,PERSON_00089,Sunil Singh,surveillance
NAMEVAR_PERSON_00089_1,PERSON_00089,SUNIL SINGH,surveillance
NAMEVAR_PERSON_00089_2,PERSON_00089,S. Singh,court
NAMEVAR_PERSON_00090_0,PERSON_00090,Prakash Shinde,court
NAMEVAR_PERSON_00090_1,PERSON_00090,PRAKASH SHINDE,witness
NAMEVAR_PERSON_00090_2,PERSON_00090,P. Shinde,business
NAMEVAR_PERSON_00091_0,PERSON_00091,Ravi Jain,police
NAMEVAR_PERSON_00091_1,PERSON_00091,RAVI JAIN,surveillance
NAMEVAR_PERSON_00091_2,PERSON_00091,R. Jain,witness
NAMEVAR_PERSON_00092_0,PERSON_00092,Anil Rao,surveillance
NAMEVAR_PERSON_00092_1,PERSON_00092,ANIL RAO,court
NAMEVAR_PERSON_00092_2,PERSON_00092,A. Rao,police
NAMEVAR_PERSON_00093_0,PERSON_00093,Amit Verma,surveillance
NAMEVAR_PERSON_00093_1,PERSON_00093,AMIT VERMA,business
NAMEVAR_PERSON_00093_2,PERSON_00093,A. Verma,police
NAMEVAR_PERSON_00094_0,PERSON_00094,Anil Behera,business
NAMEVAR_PERSON_00094_1,PERSON_00094,ANIL BEHERA,business
NAMEVAR_PERSON_00094_2,PERSON_00094,A. Behera,witness
NAMEVAR_PERSON_00095_0,PERSON_00095,Rajesh Behera,business
NAMEVAR_PERSON_00095_1,PERSON_00095,RAJESH BEHERA,bank
NAMEVAR_PERSON_00095_2,PERSON_00095,R. Behera,witness
NAMEVAR_PERSON_00095_3,PERSON_00095,Rajesh Ganesh,witness
NAMEVAR_PERSON_00096_0,PERSON_00096,Ajay Selvam,witness
NAMEVAR_PERSON_00096_1,PERSON_00096,AJAY SELVAM,bank
NAMEVAR_PERSON_00096_2,PERSON_00096,A. Selvam,business
NAMEVAR_PERSON_00097_0,PERSON_00097,Subhash Roy,witness
NAMEVAR_PERSON_00097_1,PERSON_00097,SUBHASH ROY,business
NAMEVAR_PERSON_00097_2,PERSON_00097,S. Roy,business
NAMEVAR_PERSON_00098_0,PERSON_00098,Pawan Ghosh,police
NAMEVAR_PERSON_00098_1,PERSON_00098,PAWAN GHOSH,witness
NAMEVAR_PERSON_00098_2,PERSON_00098,P. Ghosh,business
NAMEVAR_PERSON_00099_0,PERSON_00099,Subhash Behera,police
NAMEVAR_PERSON_00099_1,PERSON_00099,SUBHASH BEHERA,business
NAMEVAR_PERSON_00099_2,PERSON_00099,S. Behera,court
NAMEVAR_PERSON_00100_0,PERSON_00100,Ashok Lal Kumar,witness
NAMEVAR_PERSON_00100_1,PERSON_00100,ASHOK LAL KUMAR,police
NAMEVAR_PERSON_00100_2,PERSON_00100,A. Kumar,bank
NAMEVAR_PERSON_00100_3,PERSON_00100,Ashok Kumar,business
NAMEVAR_PERSON_00101_0,PERSON_00101,Ravi Babu,witness
NAMEVAR_PERSON_00101_1,PERSON_00101,RAVI BABU,surveillance
NAMEVAR_PERSON_00101_2,PERSON_00101,R. Babu,bank
NAMEVAR_PERSON_00102_0,PERSON_00102,Sanjay Gupta,witness
NAMEVAR_PERSON_00102_1,PERSON_00102,SANJAY GUPTA,surveillance
NAMEVAR_PERSON_00102_2,PERSON_00102,S. Gupta,surveillance
NAMEVAR_PERSON_00103_0,PERSON_00103,Vivek Sharma,surveillance
NAMEVAR_PERSON_00103_1,PERSON_00103,VIVEK SHARMA,business
NAMEVAR_PERSON_00103_2,PERSON_00103,V. Sharma,surveillance
NAMEVAR_PERSON_00104_0,PERSON_00104,Harish Kumar,business
NAMEVAR_PERSON_00104_1,PERSON_00104,HARISH KUMAR,bank
NAMEVAR_PERSON_00104_2,PERSON_00104,H. Kumar,business
NAMEVAR_PERSON_00105_0,PERSON_00105,Nitin Pawar,bank
NAMEVAR_PERSON_00105_1,PERSON_00105,NITIN PAWAR,business
NAMEVAR_PERSON_00105_2,PERSON_00105,N. Pawar,court
NAMEVAR_PERSON_00106_0,PERSON_00106,Anil Verma,witness
NAMEVAR_PERSON_00106_1,PERSON_00106,ANIL VERMA,court
NAMEVAR_PERSON_00106_2,PERSON_00106,A. Verma,court
NAMEVAR_PERSON_00107_0,PERSON_00107,Prakash Kamat,business
NAMEVAR_PERSON_00107_1,PERSON_00107,PRAKASH KAMAT,surveillance
NAMEVAR_PERSON_00107_2,PERSON_00107,P. Kamat,business
NAMEVAR_PERSON_00108_0,PERSON_00108,Prasad Naik,surveillance
NAMEVAR_PERSON_00108_1,PERSON_00108,PRASAD NAIK,surveillance
NAMEVAR_PERSON_00108_2,PERSON_00108,P. Naik,police
NAMEVAR_PERSON_00109_0,PERSON_00109,Nitin Shah,witness
NAMEVAR_PERSON_00109_1,PERSON_00109,NITIN SHAH,witness
NAMEVAR_PERSON_00109_2,PERSON_00109,N. Shah,business
NAMEVAR_PERSON_00110_0,PERSON_00110,Kiran Pillai,business
NAMEVAR_PERSON_00110_1,PERSON_00110,KIRAN PILLAI,court
NAMEVAR_PERSON_00110_2,PERSON_00110,K. Pillai,witness
NAMEVAR_PERSON_00111_0,PERSON_00111,Dinesh Reddy,court
NAMEVAR_PERSON_00111_1,PERSON_00111,DINESH REDDY,surveillance
NAMEVAR_PERSON_00111_2,PERSON_00111,D. Reddy,police
NAMEVAR_PERSON_00112_0,PERSON_00112,Vinod Shetty,business
NAMEVAR_PERSON_00112_1,PERSON_00112,VINOD SHETTY,court
NAMEVAR_PERSON_00112_2,PERSON_00112,V. Shetty,business
NAMEVAR_PERSON_00113_0,PERSON_00113,Pankaj Yadav,surveillance
NAMEVAR_PERSON_00113_1,PERSON_00113,PANKAJ YADAV,witness
NAMEVAR_PERSON_00113_2,PERSON_00113,P. Yadav,court
NAMEVAR_PERSON_00114_0,PERSON_00114,Sunil Naik,surveillance
NAMEVAR_PERSON_00114_1,PERSON_00114,SUNIL NAIK,police
NAMEVAR_PERSON_00114_2,PERSON_00114,S. Naik,witness
NAMEVAR_PERSON_00115_0,PERSON_00115,Subhash Patnaik,police
NAMEVAR_PERSON_00115_1,PERSON_00115,SUBHASH PATNAIK,bank
NAMEVAR_PERSON_00115_2,PERSON_00115,S. Patnaik,business
NAMEVAR_PERSON_00116_0,PERSON_00116,Deepak Rao,surveillance
NAMEVAR_PERSON_00116_1,PERSON_00116,DEEPAK RAO,police
NAMEVAR_PERSON_00116_2,PERSON_00116,D. Rao,surveillance
NAMEVAR_PERSON_00117_0,PERSON_00117,Amit Singh,surveillance
NAMEVAR_PERSON_00117_1,PERSON_00117,AMIT SINGH,bank
NAMEVAR_PERSON_00117_2,PERSON_00117,A. Singh,surveillance
NAMEVAR_PERSON_00118_0,PERSON_00118,Rohit More,witness
NAMEVAR_PERSON_00118_1,PERSON_00118,ROHIT MORE,surveillance
NAMEVAR_PERSON_00118_2,PERSON_00118,R. More,police
NAMEVAR_PERSON_00119_0,PERSON_00119,Deepak Shah,police
NAMEVAR_PERSON_00119_1,PERSON_00119,DEEPAK SHAH,surveillance
NAMEVAR_PERSON_00119_2,PERSON_00119,D. Shah,bank
NAMEVAR_PERSON_00119_3,PERSON_00119,Deepak Ganesh,police
NAMEVAR_PERSON_00120_0,PERSON_00120,Deepak Verma,business
NAMEVAR_PERSON_00120_1,PERSON_00120,DEEPAK VERMA,business
NAMEVAR_PERSON_00120_2,PERSON_00120,D. Verma,bank
NAMEVAR_PERSON_00121_0,PERSON_00121,Manoj Babu,business
NAMEVAR_PERSON_00121_1,PERSON_00121,MANOJ BABU,surveillance
NAMEVAR_PERSON_00121_2,PERSON_00121,M. Babu,court
NAMEVAR_PERSON_00122_0,PERSON_00122,Santosh Dutta,surveillance
NAMEVAR_PERSON_00122_1,PERSON_00122,SANTOSH DUTTA,court
NAMEVAR_PERSON_00122_2,PERSON_00122,S. Dutta,bank
NAMEVAR_PERSON_00123_0,PERSON_00123,Santosh Prasad,witness
