account_id,account_number,holder_person_id,bank_code,account_status
AC0093,XX86189335,P0174,PUNB,ACTIVE
AC0094,XX13744677,P0015,SBIN,ACTIVE
AC0095,XX63795704,P0041,ICIC,ACTIVE
AC0096,XX53532877,P0146,PUNB,ACTIVE
AC0097,XX84803589,P0088,AXIS,ACTIVE
AC0098,XX24908263,P0141,AXIS,ACTIVE
AC0099,XX56899154,P0090,UBIN,ACTIVE
AC0100,XX36748225,P0117,AXIS,ACTIVE
AC0101,XX50664644,P0133,AXIS,ACTIVE
AC0102,XX85735168,P0020,PUNB,ACTIVE
AC0103,XX48719557,P0118,AXIS,ACTIVE
AC0104,XX75940408,P0111,UBIN,ACTIVE
AC0105,XX65027327,P0104,SBIN,ACTIVE
AC0106,XX20984222,P0164,HDFC,ACTIVE
AC0107,XX75465291,P0162,UBIN,ACTIVE
AC0108,XX80022351,P0003,PUNB,ACTIVE
AC0109,XX49039604,P0050,UBIN,ACTIVE
AC0110,XX74431469,P0116,AXIS,ACTIVE
AC0111,XX10186245,P0120,AXIS,ACTIVE
AC0112,XX71675898,P0171,ICIC,ACTIVE
AC0113,XX37878117,P0064,UBIN,ACTIVE
AC0114,XX38918784,P0044,ICIC,ACTIVE
AC0115,XX42273683,P0072,SBIN,ACTIVE
AC0116,XX53892596,P0103,ICIC,ACTIVE
AC0117,XX16169112,P0179,AXIS,ACTIVE
AC0118,XX12810534,P0062,ICIC,ACTIVE
AC0119,XX29110500,P0077,SBIN,ACTIVE
AC0120,XX40324827,P0047,SBIN,ACTIVE
